sample_ID_SEG,sample_ID,Transect,Recipient,Donor,Gen,SegPos,Plant_ID,Sequence,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
BO-145-G1-006-12L,BO-145-G1-006-12L-2,6,BO_145,BO_069,G1,12L,2,180,TRUE,2022-10-31,2022-11-03,2023-06-01,213,210,2023-06-01,0,,,1,16.26,16.26,0,1,0,0,1,,,,,,,,,,30.13,2.64,11.412878787878787,,0.08762031198141387,,-29.3,3.42,-29.3,3.42,1,1,0,0
BO-146-G1-007-26R,BO-146-G1-007-26R-5,7,BO_146,BO_022,G1,26R,5,224,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,3,,,15.82,15.82,6,0,15,21,6,2.5,15,3.128863636,,,,,,,,,,,,,-29.49,2.47,-29.49,2.47,1,1,1,1
BO-146-G1-010-16L,BO-146-G1-010-16L-5,10,BO_146,BO_022,G1,16L,5,295,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,1,,,36.53,36.53,3,1,6,6,4,2,8,5.785,,,,,67.679,3.98,67.679,3.98,17.004773869346735,17.004773869346735,0.05880701547008673,0.05880701547008673,-28.74,5.08,-28.74,5.08,1,1,1,1
BO-146-G2-005-34R,BO-146-G2-005-34R-3,5,BO_146,BO_022,G2,34R,3,158,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,1,,,,,3,0,7,13,3,2.333333333,7,2.657083333,23.969,2023-05-05,23.969,2023-05-05,,,,,,,,,,,,,1,1,1,1
BO-146-G2-009-11L,BO-146-G2-009-11L-1,9,BO_146,BO_022,G2,11L,1,260,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,1,,,8.22,8.22,2,1,2,2,3,1,3,7.04,29.139,2023-04-21,29.139,2023-04-21,,,24.343,1.35,18.03185185185185,,0.05545742102452451,,-28.95,4.49,-28.95,4.49,1,1,1,1
BO-149-G1-008-17L,BO-149-G1-008-17L-1,8,BO_149,BO_038,G1,17L,1,241,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,12.72,12.72,4,0,6,8,4,1.5,6,3.821666667,,,,,,,,,,,,,-29.79,2.02,-29.79,2.02,1,1,1,1
BO-149-G1-010-7R,BO-149-G1-010-7R-2,10,BO_149,BO_038,G1,7R,2,286,TRUE,2022-10-31,2022-11-03,,,,,,,,,4.32,4.32,1,3,0,0,4,0,0,,,,,,27.692,1.75,27.692,1.75,15.824,15.824,0.06319514661274014,0.06319514661274014,-28.87,1.11,-28.87,1.11,0,1,1,0
BO-149-G2-008-23L,BO-149-G2-008-23L-5,8,BO_149,BO_038,G2,23L,5,247,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,4,,,38.94,38.94,3,0,2,7,3,0.6666666667,2,3.11,24.386,2023-04-21,24.386,2023-04-21,,,,,,,,,-29.04,4.17,-29.04,4.17,1,1,1,1
BO-150-G1-007-12R,BO-150-G1-007-12R-4,7,BO_150,BO_187,G1,12R,4,210,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,1,2,,49.39,49.39,7,2,17,21,9,2.428571429,21.85714286,3.900386844,25.468,2023-05-17,25.468,2023-05-17,,,,,,,,,-28.23,3.97,-28.23,3.97,1,1,1,1
BO-150-G2-009-18L,BO-150-G2-009-18L-3,9,BO_150,BO_187,G2,18L,3,267,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2,,,10.06,10.06,1,4,5,5,5,5,25,4.54,32.164,2023-04-21,32.164,2023-04-21,,,17.827,1.08,16.506481481481483,,0.06058226285970718,,-29.03,2.34,-29.03,2.34,1,1,1,1
BO-151-G1-001-33L,BO-151-G1-001-33L-3,1,BO_151,BO_001,G1,33L,3,33,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2,,,33.43,33.43,5,6,8,13,11,1.6,17.6,3.187857143,25.725,2023-05-05,25.725,2023-05-05,,,,,,,,,-29.39,5.29,-29.39,5.29,1,1,1,1
BO-152-G1-005-18L,BO-152-G1-005-18L-2,5,BO_152,BO_143,G1,18L,2,142,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-01,27,3,6,0,51.84,51.84,5,11,11,11,16,2.2,35.2,3.928611111,26.309,2023-05-05,26.309,2023-05-05,,,,,,,,,-31.85,4.59,-31.85,4.59,1,1,1,1
BO-152-G2-008-19R,BO-152-G2-008-19R-5,8,BO_152,BO_143,G2,19R,5,243,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-02,28,,3,,25.61,25.61,2,2,4,4,4,2,8,4.9825,,,,,13.814,0.99,13.814,0.99,13.953535353535354,13.953535353535354,0.07166642536557115,0.07166642536557115,-29.31,3.46,-29.31,3.46,1,1,1,1
BO-152-G2-008-24L,BO-152-G2-008-24L-2,8,BO_152,BO_143,G2,24L,2,248,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2,,,27.28,27.28,3,0,6,10,3,2,6,4.573333333,23.2,2023-05-05,23.2,2023-05-05,,,17.393,0.98,17.74795918367347,,0.05634450641062497,,-28.84,4.7,-28.84,4.7,1,1,1,1
BO-154-G2-003-15L,BO-154-G2-003-15L-3,3,BO_154,BO_188,G2,15L,3,86,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,1,1,,6.74,6.74,1,1,1,1,2,1,2,6.27,,,,,,,,,,,,,-28.39,2.43,-28.39,2.43,1,1,1,1
BO-155-G1-007-6L,BO-155-G1-007-6L-5,7,BO_155,BO_168,G1,6L,5,204,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,3,,,36.36,36.36,6,4,21,21,10,3.5,35,4.114761905,,,,,,,,,,,,,-29.83,3.83,-29.83,3.83,1,1,1,1
BO-155-G2-009-8L,BO-155-G2-009-8L-5,9,BO_155,BO_168,G2,8L,5,257,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,4.73,4.73,0,3,0,0,3,,,,,,26.293,2023-04-21,,,25.866,1.42,18.21549295774648,,0.05489832212170416,,-29.28,2.65,-29.28,2.65,1,1,0,0
BO-157-G1-008-1R,BO-157-G1-008-1R-4,8,BO_157,BO_153,G1,1R,4,225,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,3,,,,,3,0,5,5,3,1.666666667,5,4.604,20.337,2023-05-05,20.337,2023-05-05,,,,,,,,,-30.57,3.05,-30.57,3.05,1,1,1,1
BO-158-G1-006-12R,BO-158-G1-006-12R-4,6,BO_158,BO_198,G1,12R,4,180,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,,5.65,5.65,1,1,1,2,2,1,2,3.79,,,,,,,,,,,,,-30.73,2.14,-30.73,2.14,1,1,1,1
BO-158-G1-006-4L,BO-158-G1-006-4L-1,6,BO_158,BO_198,G1,4L,1,172,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-15,41,,1,1(6/15),17.61,17.61,2,0,5,5,2,2.5,5,4.81,,,24.977,2023-05-05,,,33.308,2.47,13.48502024291498,,0.07415635883271286,,-27.84,4.77,-27.84,4.77,1,1,1,1
BO-159-G1-005-4R,BO-159-G1-005-4R-3,5,BO_159,BO_198,G1,4R,3,128,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,0,,,4.25,4.25,1,0,3,5,1,3,3,1.273333333,,,,,,,39.524,2.12,18.643396226415092,,0.05363829571905678,,-29.36,0.86,-29.36,0.86,1,1,1,1
BO-159-G1-009-10R,BO-159-G1-009-10R-3,9,BO_159,BO_198,G1,10R,3,259,TRUE,2022-10-31,2022-11-03,,,,,,,,,1.94,1.94,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,0,1,0,0
BO-159-G1-009-16L,BO-159-G1-009-16L-2,9,BO_159,BO_198,G1,16L,2,265,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,2.59,2.59,0,1,0,0,1,,,,19.859,2023-04-21,19.859,2023-04-21,,,,,,,,,,,,,1,1,0,0
BO-161-G1-006-31L,BO-161-G1-006-31L-5,6,BO_161,BO_130,G1,31L,5,198,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,39.06,39.06,3,0,20,20,3,6.666666667,20,4.4234375,28.35,2023-04-21,28.35,2023-04-21,,,11.93,1.07,11.149532710280372,,0.08968985750209557,,-29.55,5.31,-29.55,5.31,1,1,1,1
BO-164-G1-008-13L,BO-164-G1-008-13L-5,8,BO_164,BO_162,G1,13L,5,237,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-02,16,,1,,,,1,0,6,6,1,6,6,2.261666667,26.643,2023-05-17,26.643,2023-05-17,,,35.901,2.03,17.68522167487685,,0.056544385950252074,,-29.68,2.06,-29.68,2.06,1,1,1,1
BO-164-G2-007-12L,BO-164-G2-007-12L-1,7,BO_164,BO_162,G2,12L,1,210,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,,,,16.9,16.9,0,1,0,0,1,,,,,,,,,,37.132,2.28,16.2859649122807,,0.061402563826349246,,-29.88,3.64,-29.88,3.64,1,1,0,0
BO-164-G2-007-24R,BO-164-G2-007-24R-2,7,BO_164,BO_162,G2,24R,2,222,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,1,0,1,1,1,1,1,3.24,,,,,,,,,,,,,,,,,1,1,1,1
BO-166-G1-006-9L,BO-166-G1-006-9L-1,6,BO_166,BO_192,G1,9L,1,177,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,6.33,6.33,2,0,8,8,2,4,8,3.010333333,,,30.596,2023-05-05,,,93.084,5.83,15.966380789022299,,0.06263160156417859,,-29.01,2.09,-29.01,2.09,1,1,1,1
BO-166-G2-009-27L,BO-166-G2-009-27L-5,9,BO_166,BO_192,G2,27L,5,276,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,1,1,,,,0,2,0,0,2,,,,25.043,2023-04-21,25.043,2023-04-21,63.398,3.69,63.398,3.69,17.181029810298103,17.181029810298103,0.058203728824253134,0.058203728824253134,-28.63,3.99,-28.63,3.99,1,1,0,0
BO-169-G1-005-16L,BO-169-G1-005-16L-3,5,BO_169,BO_088,G1,16L,3,140,TRUE,2022-10-31,2022-11-03,2023-06-01,213,210,2023-06-01,0,,,1,,,0,0,0,0,0,,0,,15.223,2023-06-02,15.223,2023-06-02,,,,,,,,,,,,,1,0,0,0
BO-169-G1-009-27R,BO-169-G1-009-27R-2,9,BO_169,BO_088,G1,27R,2,276,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,1,,,25.59,25.59,3,1,6,10,4,2,8,5.628333333,23.019,2023-05-05,23.019,2023-05-05,52.569,3.45,52.569,3.45,15.237391304347826,15.237391304347826,0.06562803172972664,0.06562803172972664,-28.85,3.87,-28.85,3.87,1,1,1,1
BO-169-G2-002-31R,BO-169-G2-002-31R-1,2,BO_169,BO_088,G2,31R,1,71,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2,,12.2,12.2,0,0,0,0,0,,0,,19.422,2023-05-17,19.422,2023-05-17,,,,,,,,,-28.74,2.63,-28.74,2.63,1,0,0,0
BO-169-G2-008-5R,BO-169-G2-008-5R-1,8,BO_169,BO_088,G2,5R,1,229,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,0,0,0,0
BO-169-G2-008-7L,BO-169-G2-008-7L-3,8,BO_169,BO_088,G2,7L,3,231,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,1,0,0,0
