Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
BO-067-G2-006-2R-1,-30.23,729.37,,Nemo-2023-BO-1,F2,plant stem tissue,13C,1.77,2031216,700380,H
BO-022-G1-006-3L-1,-31.67,1733.71,,Nemo-2023-BO-1,F3,plant stem tissue,13C,5.16,2031217,700381,H
BO-089-G1-006-3R-5,-30.99,1065.20,,Nemo-2023-BO-1,F4,plant stem tissue,13C,3.19,2031218,700382,H
BO-158-G1-006-4L-1,-27.84,1501.45,,Nemo-2023-BO-1,F5,plant stem tissue,13C,4.77,2031219,700383,H
BO-182-G1-006-4R-5,-28.94,638.35,,Nemo-2023-BO-1,F6,plant stem tissue,13C,1.44,2031220,700384,H
BO-131-G1-006-5L-3,-30.26,258.28,,Nemo-2023-BO-1,F7,plant stem tissue,13C,0.92,2031221,700385,H
BO-072-G2-006-8L-1,-28.16,346.47,,Nemo-2023-BO-1,F8,plant stem tissue,13C,0.97,2031222,700386,H
BO-121-G1-006-8R-2,-30.82,1583.06,,Nemo-2023-BO-1,F9,plant stem tissue,13C,4.39,2031223,700387,H
BO-166-G1-006-9L-1,-29.01,563.03,,Nemo-2023-BO-1,F10,plant stem tissue,13C,2.09,2031224,700388,H
BO-087-G1-006-9R-4,-28.58,773.31,,Nemo-2023-BO-1,F11,plant stem tissue,13C,2.53,2031225,700389,H
BO-001-G2-006-11R-3,-29.72,478.29,,Nemo-2023-BO-1,F12,plant stem tissue,13C,1.81,2031226,700390,H
BO-145-G1-006-12L-2,-29.30,993.01,,Nemo-2023-BO-1,G1,plant stem tissue,13C,3.42,2031227,700395,H
BO-158-G1-006-12R-4,-30.73,610.11,,Nemo-2023-BO-1,G2,plant stem tissue,13C,2.14,2031228,700396,H
BO-199-G1-006-13L-1,-28.74,1046.36,,Nemo-2023-BO-1,G3,plant stem tissue,13C,3.43,2031229,700397,H
BO-060-G2-006-13R-3,-30.11,365.30,,Nemo-2023-BO-1,G4,plant stem tissue,13C,1.09,2031230,700398,H
BO-027-G1-006-16L-3,-29.59,1451.24,,Nemo-2023-BO-1,G5,plant stem tissue,13C,5.15,2031231,700399,H
BO-048-G1-006-18R-3,-28.74,1341.39,,Nemo-2023-BO-1,G6,plant stem tissue,13C,4.44,2031232,700400,H
BO-117-G1-006-20L-4,-28.60,337.05,,Nemo-2023-BO-1,G7,plant stem tissue,13C,1.34,2031233,700401,H
BO-071-G1-006-20R-4,-28.91,472.01,,Nemo-2023-BO-1,G8,plant stem tissue,13C,1.59,2031234,700402,H
BO-052-G2-006-22L-5,-28.52,1322.56,,Nemo-2023-BO-1,G9,plant stem tissue,13C,4.35,2031235,700403,H
BO-031-G2-006-22R-3,-30.30,287.46,,Nemo-2023-BO-1,G10,plant stem tissue,13C,1.3,2031236,700404,H
BO-140-G1-006-23R-3,-30.29,597.55,,Nemo-2023-BO-1,G11,plant stem tissue,13C,2.07,2031237,700405,H
BO-018-G2-006-25L-2,-30.69,666.60,,Nemo-2023-BO-1,G12,plant stem tissue,13C,2.05,2031238,700406,H
BO-021-G2-006-25R-5,-29.04,522.23,,Nemo-2023-BO-1,H1,plant stem tissue,13C,1.57,2031239,700413,H
BO-086-G2-006-29R-2,-29.92,625.80,,Nemo-2023-BO-1,H2,plant stem tissue,13C,1.75,2031240,700414,H
