Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
HR-011-G1-003-2R-1,-30.72,1908.44,,Nemo2023HR2,B12,plant stem tissue,13C,5.05,2016309,699317,H
HR-112-G1-003-3L-2,-30.35,1509.09,,Nemo2023HR2,C1,plant stem tissue,13C,4.21,2016310,699324,H
HR-056-G1-003-3R-1,-30.14,770.74,,Nemo2023HR2,C2,plant stem tissue,13C,2.44,2016311,699325,H
HR-018-G2-003-4L-2,-30.15,925.24,,Nemo2023HR2,C3,plant stem tissue,13C,2.4,2016312,699326,H
HR-020-G2-003-4R-3,-30.50,912.68,,Nemo2023HR2,C4,plant stem tissue,13C,3.15,2016313,699327,H
HR-150-G1-003-5R-3,-29.82,1081.57,,Nemo2023HR2,C5,plant stem tissue,13C,3.37,2016314,699328,H
HR-134-G2-003-6L-2,-31.69,637.29,,Nemo2023HR2,C6,plant stem tissue,13C,2.14,2016315,699329,H
HR-165-G2-003-6R-5,-30.36,1417.70,,Nemo2023HR2,C7,plant stem tissue,13C,4.35,2016316,699330,H
HR-026-G2-003-7L-1,-29.84,735.88,,Nemo2023HR2,C8,plant stem tissue,13C,1.84,2016317,699331,H
HR-067-G1-003-8L-5,-30.40,634.10,,Nemo2023HR2,C9,plant stem tissue,13C,2.36,2016318,699332,H
HR-067-G1-003-8R-5,-30.45,887.52,,Nemo2023HR2,C10,plant stem tissue,13C,2.16,2016319,699333,H
HR-193-G2-003-9L-5,-29.65,1050.41,,Nemo2023HR2,C11,plant stem tissue,13C,3.3,2016320,699334,H
HR-006-G2-003-10L-5,-30.04,862.34,,Nemo2023HR2,C12,plant stem tissue,13C,2.05,2016321,699335,H
HR-066-G2-003-10R-3,-30.73,944.07,,Nemo2023HR2,D1,plant stem tissue,13C,3.28,2016322,699340,H
HR-046-G2-003-11L-4,-31.12,1442.12,,Nemo2023HR2,D2,plant stem tissue,13C,4.65,2016323,699341,H
HR-164-G2-003-11R-3,-30.92,1542.48,,Nemo2023HR2,D3,plant stem tissue,13C,5.35,2016324,699342,H
HR-170-G1-003-12L-5,-29.89,1097.13,,Nemo2023HR2,D4,plant stem tissue,13C,4.14,2016325,699343,H
HR-158-G2-003-12R-2,-30.51,1506.05,,Nemo2023HR2,D5,plant stem tissue,13C,4.84,2016326,699344,H
HR-193-G2-003-13L-5,-31.28,704.13,,Nemo2023HR2,D6,plant stem tissue,13C,2.02,2016327,699345,H
HR-049-G1-003-14L-1,-31.22,241.32,,Nemo2023HR2,D7,plant stem tissue,13C,0.16,2016328,699346,H
HR-065-G2-003-14R-5,-31.27,583.00,,Nemo2023HR2,D8,plant stem tissue,13C,1.81,2016329,699347,H
HR-017-G1-003-16L-3,-29.26,994.19,,Nemo2023HR2,D9,plant stem tissue,13C,2.31,2016330,699348,H
HR-176-G1-003-16R-1,-29.75,335.16,,Nemo2023HR2,D10,plant stem tissue,13C,0.94,2016331,699349,H
HR-164-G1-003-17L-5,-30.60,618.14,,Nemo2023HR2,D11,plant stem tissue,13C,1.53,2016332,699350,H
HR-041-G1-003-17R-1,-29.92,1006.70,,Nemo2023HR2,D12,plant stem tissue,13C,3.33,2016333,699351,H
HR-104-G2-003-18L-1,-30.19,583.00,,Nemo2023HR2,E1,plant stem tissue,13C,2.1,2016334,699355,H
HR-153-G2-003-18R-2,-31.32,824.49,,Nemo2023HR2,E2,plant stem tissue,13C,2.81,2016335,699356,H
HR-174-G2-003-20R-5,-30.55,448.21,,Nemo2023HR2,E3,plant stem tissue,13C,1.68,2016336,699357,H
HR-159-G2-003-21R-2,-30.40,528.56,,Nemo2023HR2,E4,plant stem tissue,13C,2.53,2016337,699358,H
HR-175-G1-003-22L-1,-30.96,1094.01,,Nemo2023HR2,E5,plant stem tissue,13C,3.34,2016338,699359,H
HR-107-G2-003-22R-1,-31.35,881.23,,Nemo2023HR2,E6,plant stem tissue,13C,2.03,2016339,699360,H
HR-083-G2-003-24L-4,-29.58,859.19,,Nemo2023HR2,E7,plant stem tissue,13C,3.03,2016340,699361,H
HR-071-G2-003-24R-2,-30.45,461.09,,Nemo2023HR2,E8,plant stem tissue,13C,0.99,2016341,699362,H
HR-027-G1-003-25L-4,-30.76,1344.23,,Nemo2023HR2,E9,plant stem tissue,13C,4.53,2016342,699363,H
HR-053-G1-003-25R-4,-30.78,994.19,,Nemo2023HR2,E10,plant stem tissue,13C,3.3,2016343,699364,H
HR-179-G1-003-26L-2,-30.92,1087.79,,Nemo2023HR2,E11,plant stem tissue,13C,4.04,2016344,699365,H
HR-116-G1-003-26R-5,-31.90,444.99,,Nemo2023HR2,E12,plant stem tissue,13C,1.55,2016345,699366,H
HR-039-G2-003-27L-4,-29.86,461.09,,Nemo2023HR2,F1,plant stem tissue,13C,1.45,2016346,699373,H
HR-006-G1-003-27R-5,-30.62,293.33,,Nemo2023HR2,F2,plant stem tissue,13C,1.97,2016347,699374,H
HR-139-G1-003-28L-3,-31.35,821.33,,Nemo2023HR2,F3,plant stem tissue,13C,2.64,2016348,699375,H
HR-103-G1-003-28R-4,-30.91,890.67,,Nemo2023HR2,F4,plant stem tissue,13C,2.73,2016349,699376,H
HR-095-G2-003-29L-3,-30.86,653.22,,Nemo2023HR2,F5,plant stem tissue,13C,2.61,2016350,699377,H
HR-005-G2-003-29R-3,-32.35,1660.33,,Nemo2023HR2,F6,plant stem tissue,13C,5.17,2016351,699378,H
HR-015-G2-003-30L-4,-30.80,531.76,,Nemo2023HR2,F7,plant stem tissue,13C,1.56,2016352,699379,H
HR-042-G2-003-30R-2,-29.80,824.49,,Nemo2023HR2,F8,plant stem tissue,13C,2.81,2016353,699380,H
HR-190-G2-003-31L-3,-29.52,773.91,,Nemo2023HR2,F9,plant stem tissue,13C,1.71,2016354,699381,H
HR-079-G2-003-31R-1,-30.47,969.15,,Nemo2023HR2,F10,plant stem tissue,13C,2.69,2016355,699382,H
HR-112-G2-003-32R-3,-29.94,1065.99,,Nemo2023HR2,F11,plant stem tissue,13C,3.75,2016356,699383,H
HR-047-G2-003-33L-5,-30.23,1236.55,,Nemo2023HR2,F12,plant stem tissue,13C,3.24,2016357,699384,H
HR-036-G2-003-33R-2,-30.62,1016.07,,Nemo2023HR2,G1,plant stem tissue,13C,2.56,2016358,699388,H
HR-179-G2-003-34L-3,-30.75,1282.78,,Nemo2023HR2,G2,plant stem tissue,13C,3.03,2016359,699389,H
HR-104-G1-003-34R-5,-31.67,1387.12,,Nemo2023HR2,G3,plant stem tissue,13C,4.16,2016360,699390,H
HR-201-G2-003-35L-1,-30.79,1143.72,,Nemo2023HR2,G4,plant stem tissue,13C,2.66,2016361,699391,H
HR-147-G1-003-36L-1,-30.16,1436.01,,Nemo2023HR2,G5,plant stem tissue,13C,3.8,2016362,699392,H
HR-116-G2-003-37L-2,-30.21,1261.22,,Nemo2023HR2,G6,plant stem tissue,13C,3.79,2016363,699393,H
HR-046-G1-003-37R-3,-30.92,515.72,,Nemo2023HR2,G7,plant stem tissue,13C,1.16,2016364,699394,H
HR-014-G1-003-38L-5,-29.97,1347.30,,Nemo2023HR2,G8,plant stem tissue,13C,3.55,2016365,699395,H
HR-147-G1-003-39L-5,-31.11,1408.53,,Nemo2023HR2,G9,plant stem tissue,13C,4.78,2016366,699396,H
HR-032-G1-003-39R-2,-30.38,1003.57,,Nemo2023HR2,G10,plant stem tissue,13C,3.14,2016367,699397,H
HR-173-G2-003-40L-1,-29.92,1149.92,,Nemo2023HR2,G11,plant stem tissue,13C,4.58,2016368,699398,H
HR-119-G2-003-40R-4,-32.27,1429.91,,Nemo2023HR2,G12,plant stem tissue,13C,4.7,2016369,699399,H
HR-166-G1-003-41L-5,-29.29,1509.09,,Nemo2023HR2,H1,plant stem tissue,13C,4.15,2016370,699404,H
HR-153-G2-003-42R-1,-29.89,1118.88,,Nemo2023HR2,H2,plant stem tissue,13C,3.59,2016371,699405,H
HR-068-G2-003-43L-1,-31.06,1236.55,,Nemo2023HR2,H3,plant stem tissue,13C,4.68,2016372,699406,H
HR-023-G2-003-43R-3,-30.33,871.79,,Nemo2023HR2,H4,plant stem tissue,13C,2.29,2016373,699407,H
HR-026-G2-003-44L-4,-28.79,1469.54,,Nemo2023HR2,H5,plant stem tissue,13C,4.74,2016374,699408,H
HR-126-G2-003-45R-5,-31.14,710.49,,Nemo2023HR2,H6,plant stem tissue,13C,1.95,2016375,699409,H
HR-108-G2-004-1L-5,-30.05,1174.72,,Nemo2023HR2,H7,plant stem tissue,13C,2.99,2016376,699410,H
HR-124-G1-004-2L-1,-31.17,1816.21,,Nemo2023HR2,H8,plant stem tissue,13C,5.21,2016377,699411,H
HR-165-G1-004-2R-2,-29.30,1396.30,,Nemo2023HR2,H9,plant stem tissue,13C,3.63,2016378,699412,H
HR-019-G1-004-3L-4,-29.78,1295.09,,Nemo2023HR2,H10,plant stem tissue,13C,3.76,2016379,699413,H
HR-123-G2-004-3R-5,-31.30,1118.88,,Nemo2023HR2,H11,plant stem tissue,13C,4.13,2016380,699414,H
HR-190-G2-004-4L-4,-30.22,1362.63,,Nemo2023HR2,H12,plant stem tissue,13C,4.64,2016381,699415,H
HR-015-G1-004-4R-5,-30.20,1789.33,,Nemo2023HR3,A1,plant stem tissue,13C,4.55,2016382,699422,H
HR-041-G1-004-5L-3,-30.30,541.38,,Nemo2023HR3,A2,plant stem tissue,13C,1.69,2016383,699423,H
HR-135-G2-004-5R-4,-30.61,1121.99,,Nemo2023HR3,A3,plant stem tissue,13C,2.8,2016384,699424,H
HR-184-G1-004-6R-3,-30.39,1917.34,,Nemo2023HR3,A4,plant stem tissue,13C,5.06,2016385,699425,H
HR-017-G1-004-7L-3,-31.68,947.21,,Nemo2023HR3,A5,plant stem tissue,13C,3.08,2016386,699426,H
HR-150-G1-004-8L-1,-30.43,451.43,,Nemo2023HR3,A6,plant stem tissue,13C,1.15,2016387,699427,H
HR-146-G2-004-8R-3,-30.27,1834.10,,Nemo2023HR3,A7,plant stem tissue,13C,5.49,2016388,699428,H
HR-181-G2-004-9L-5,-30.53,915.82,,Nemo2023HR3,A8,plant stem tissue,13C,1.54,2016389,699429,H
HR-183-G2-004-9R-3,-30.19,1666.36,,Nemo2023HR3,A9,plant stem tissue,13C,4.12,2016390,699430,H
HR-174-G1-004-10L-4,-30.74,1693.43,,Nemo2023HR3,A10,plant stem tissue,13C,5.95,2016391,699431,H
HR-072-G1-004-10R-4,-30.17,528.56,,Nemo2023HR3,A11,plant stem tissue,13C,2.37,2016392,699432,H
HR-137-G2-004-11L-2,-30.47,1463.45,,Nemo2023HR3,A12,plant stem tissue,13C,5.17,2016393,699433,H
HR-056-G2-004-11R-3,-30.49,789.73,,Nemo2023HR3,B1,plant stem tissue,13C,3.03,2016394,699438,H
HR-009-G2-004-12L-1,-29.78,322.20,,Nemo2023HR3,B2,plant stem tissue,13C,1.33,2016395,699439,H
HR-078-G2-004-12R-3,-28.27,1624.16,,Nemo2023HR3,B3,plant stem tissue,13C,3.96,2016396,699440,H
HR-159-G1-004-13L-1,-30.67,796.05,,Nemo2023HR3,B4,plant stem tissue,13C,2.02,2016397,699441,H
HR-166-G1-004-13R-1,-30.39,1423.80,,Nemo2023HR3,B5,plant stem tissue,13C,5.06,2016398,699442,H
HR-042-G1-004-14L-5,-29.87,1165.42,,Nemo2023HR3,B6,plant stem tissue,13C,3.23,2016399,699443,H
HR-088-G2-004-15L-1,-31.19,1242.72,,Nemo2023HR3,B7,plant stem tissue,13C,3.79,2016400,699444,H
HR-001-G2-004-17L-1,-31.38,374.00,,Nemo2023HR3,B8,plant stem tissue,13C,1.94,2016401,699445,H
HR-064-G1-004-18L-3,-30.25,1072.22,,Nemo2023HR3,B9,plant stem tissue,13C,2.27,2016402,699446,H
HR-127-G1-004-18R-3,-30.36,608.56,,Nemo2023HR3,B10,plant stem tissue,13C,2.6,2016403,699447,H
HR-016-G2-004-19R-5,-31.23,1273.54,,Nemo2023HR3,B11,plant stem tissue,13C,3.85,2016404,699448,H
HR-073-G2-004-20L-4,-30.61,499.67,,Nemo2023HR3,B12,plant stem tissue,13C,2.4,2016405,699449,H
HR-158-G2-004-21L-2,-29.86,959.94,,Nemo2023HR3,C1,plant stem tissue,13C,2.39,2016406,699481,H
