Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,Needed Area Redo,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2022,G1,1,9,BO_033,BO_099,4,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,1,n,FALSE,FALSE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0
2022,G1,1,9,BO_033,BO_099,5,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,1,n,FALSE,FALSE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0
2022,G1,1,9,BO_033,BO_099,6,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,1,n,FALSE,FALSE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0
2022,G1,1,9,BO_033,BO_099,7,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,1,n,FALSE,FALSE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0
2022,G1,1,9,BO_033,BO_099,8,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,1,n,FALSE,FALSE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0
2022,G1,1,10,BO_065,BO_115,1,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,26.278,NA,NA,NA,49.162,2.95,16.665084745762712,NA,0.06000569545583988,NA,NA,NA,NA,NA,0,NA,NA,NA,5,1,n,FALSE,FALSE,5,5,NA,NA,NA,381.84,NA,NA,NA,NA,0
2022,G1,1,10,BO_065,BO_115,2,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,26.278,NA,NA,NA,49.162,2.95,16.665084745762712,NA,0.06000569545583988,NA,NA,NA,NA,NA,0,NA,NA,NA,5,1,n,FALSE,FALSE,5,5,NA,NA,NA,381.84,NA,NA,NA,NA,0
2022,G1,1,10,BO_065,BO_115,3,FALSE,NA,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,26.278,NA,NA,NA,49.162,2.95,16.665084745762712,NA,0.06000569545583988,NA,NA,NA,NA,NA,0,NA,NA,NA,5,1,n,FALSE,FALSE,5,5,NA,NA,NA,381.84,NA,NA,NA,NA,0
2022,G1,1,10,BO_065,BO_115,4,FALSE,NA,NA,NA,2021-11-11,2021-11-17,2022-04-08,148,142,2022-05-20,42,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,26.278,NA,49.162,2.95,49.162,2.95,16.665084745762712,16.665084745762712,0.06000569545583988,0.06000569545583988,NA,NA,NA,NA,1,NA,NA,NA,5,1,n,FALSE,FALSE,5,5,2021-12-06,123,NA,381.84,NA,NA,NA,NA,1
2022,G1,1,10,BO_065,BO_115,5,TRUE,NA,NA,NA,2021-11-11,2021-11-17,2022-04-28,168,162,2022-05-20,22,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA,26.278,NA,26.278,NA,NA,NA,49.162,2.95,16.665084745762712,NA,0.06000569545583988,NA,NA,NA,NA,NA,1,0,0,0,5,1,n,FALSE,TRUE,5,5,2021-12-06,143,381.84,381.84,NA,0,NA,0,1
