Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,Needed Area Redo,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G2,1,3,HR_095,HR_178,4,TRUE,HR-178-G2-001-3L,HR-178-G2-001-3L-4,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,25.51,25.51,6,0,24,36,6,4,24,2.044421053,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,NA,0.05687988003516212,NA,-30.53,3.58,-30.53,3.58,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,5,FALSE,HR-178-G2-001-3L,HR-178-G2-001-3L-5,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,1900-01-01,NA,NA,NA,25.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,NA,0.05687988003516212,NA,NA,NA,-30.53,3.58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,1,FALSE,HR-036-G1-001-4L,HR-036-G1-001-4L-1,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,NA,NA,72.139,3.81,18.934120734908134,NA,0.05281470494462081,NA,NA,NA,-29.89,2.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,2,FALSE,HR-036-G1-001-4L,HR-036-G1-001-4L-2,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,NA,NA,72.139,3.81,18.934120734908134,NA,0.05281470494462081,NA,NA,NA,-29.89,2.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,3,FALSE,HR-036-G1-001-4L,HR-036-G1-001-4L-3,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,72.139,3.81,72.139,3.81,18.934120734908134,18.934120734908134,0.05281470494462081,0.05281470494462081,NA,NA,-29.89,2.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,4,TRUE,HR-036-G1-001-4L,HR-036-G1-001-4L-4,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,NA,9,3,16,19,12,1.777777778,21.33333333,3.603253968,24.15,2024-04-20,24.15,2024-04-20,NA,NA,72.139,3.81,18.934120734908134,NA,0.05281470494462081,NA,-29.89,2.28,-29.89,2.28,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,5,FALSE,HR-036-G1-001-4L,HR-036-G1-001-4L-5,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,NA,NA,72.139,3.81,18.934120734908134,NA,0.05281470494462081,NA,NA,NA,-29.89,2.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,1,FALSE,HR-121-G2-001-4R,HR-121-G2-001-4R-1,4R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.15,1.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,2,FALSE,HR-121-G2-001-4R,HR-121-G2-001-4R-2,4R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,6.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.15,1.89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,3,TRUE,HR-121-G2-001-4R,HR-121-G2-001-4R-3,4R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,6.19,6.19,2,0,11,13,2,5.5,11,1.207142857,25.546,2024-04-05,25.546,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,-31.15,1.89,-31.15,1.89,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,4,FALSE,HR-121-G2-001-4R,HR-121-G2-001-4R-4,4R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,6.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.15,1.89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,5,FALSE,HR-121-G2-001-4R,HR-121-G2-001-4R-5,4R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,6.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.15,1.89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,1,FALSE,HR-134-G1-001-5R,HR-134-G1-001-5R-1,5R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,17.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,42.306,2.28,42.306,2.28,18.555263157894736,18.555263157894736,0.05389306481350163,0.05389306481350163,NA,NA,-30.89,4.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,2,FALSE,HR-134-G1-001-5R,HR-134-G1-001-5R-2,5R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,NA,NA,42.306,2.28,18.555263157894736,NA,0.05389306481350163,NA,NA,NA,-30.89,4.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,3,FALSE,HR-134-G1-001-5R,HR-134-G1-001-5R-3,5R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,17.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,NA,NA,42.306,2.28,18.555263157894736,NA,0.05389306481350163,NA,NA,NA,-30.89,4.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,4,TRUE,HR-134-G1-001-5R,HR-134-G1-001-5R-4,5R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,17.82,17.82,6,0,9,13,6,1.5,9,2.619166667,NA,NA,21.495,2024-04-05,NA,NA,42.306,2.28,18.555263157894736,NA,0.05389306481350163,NA,-30.89,4.2,-30.89,4.2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,5,FALSE,HR-134-G1-001-5R,HR-134-G1-001-5R-5,5R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-05-04,29,NA,NA,NA,NA,17.82,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,21.495,2024-04-05,NA,NA,42.306,2.28,18.555263157894736,NA,0.05389306481350163,NA,NA,NA,-30.89,4.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_006,HR_162,1,FALSE,HR-162-G1-001-5L,HR-162-G1-001-5L-1,5L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.079,2024-04-20,NA,NA,37.152,2.03,18.30147783251232,NA,0.05464039621016364,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
