Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G1,6,181,AC_071,AC_115,4,FALSE,AC-115-G1-006-2L,2L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,51.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.805,2024-04-28,NA,NA,29.08,1.44,20.194444444444443,NA,0.04951856946354884,NA,NA,NA,-30.62,2.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,181,AC_071,AC_115,5,TRUE,AC-115-G1-006-2L,2L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,1900-01-02,1900-01-01,NA,51.32,51.32,6,3,11,18,9,1.833333333,16.5,1.862962963,18.805,2024-04-28,18.805,2024-04-28,NA,NA,29.08,1.44,20.194444444444443,NA,0.04951856946354884,NA,-30.62,2.71,-30.62,2.71,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,6,181,AC_002,AC_160,1,FALSE,AC-160-G2-006-2R,2R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,NA,87.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.681,2023-05-12,NA,NA,98.673,5.11,19.309784735812137,NA,0.05178721636111196,NA,NA,NA,-31.48,3.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,6,181,AC_002,AC_160,2,FALSE,AC-160-G2-006-2R,2R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-26,14,NA,NA,NA,NA,87.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.681,2023-05-12,NA,NA,98.673,5.11,19.309784735812137,NA,0.05178721636111196,NA,NA,NA,-31.48,3.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,6,181,AC_002,AC_160,3,FALSE,AC-160-G2-006-2R,2R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.681,2023-05-12,NA,NA,98.673,5.11,19.309784735812137,NA,0.05178721636111196,NA,NA,NA,-31.48,3.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,6,181,AC_002,AC_160,4,TRUE,AC-160-G2-006-2R,2R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,1900-01-08,NA,NA,87.11,87.11,12,6,24,112,18,2,36,2.0235,26.681,2023-05-12,26.681,2023-05-12,NA,NA,98.673,5.11,19.309784735812137,NA,0.05178721636111196,NA,-31.48,3.05,-31.48,3.05,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,6,181,AC_002,AC_160,5,FALSE,AC-160-G2-006-2R,2R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,NA,87.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.681,2023-05-12,98.673,5.11,98.673,5.11,19.309784735812137,19.309784735812137,0.05178721636111196,0.05178721636111196,NA,NA,-31.48,3.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_159,AC_094,1,FALSE,AC-094-G1-006-3L,3L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_159,AC_094,2,FALSE,AC-094-G1-006-3L,3L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_159,AC_094,3,FALSE,AC-094-G1-006-3L,3L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
