Year,Gen,Location,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,latitude_SEG,longitude_SEG,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,sample_ID_SEG,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitpod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,Needed Area Redo,...36,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G2,1,3,BB_107,BB_123,1,FALSE,BB-123-G2-001-3L-1,3L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-123-G2-001-3L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,BB_107,BB_123,2,FALSE,BB-123-G2-001-3L-2,3L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-123-G2-001-3L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,BB_107,BB_123,3,FALSE,BB-123-G2-001-3L-3,3L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-123-G2-001-3L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,BB_107,BB_123,4,FALSE,BB-123-G2-001-3L-4,3L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-123-G2-001-3L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,BB_107,BB_123,5,FALSE,BB-123-G2-001-3L-5,3L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-123-G2-001-3L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,BB_091,BB_139,1,FALSE,BB-139-G1-001-3R-1,3R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1129,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-139-G1-001-3R,NA,NA,-27.94,3.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,BB_091,BB_139,2,FALSE,BB-139-G1-001-3R-2,3R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1129,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-139-G1-001-3R,NA,NA,-27.94,3.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,BB_091,BB_139,3,TRUE,BB-139-G1-001-3R-3,3R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-06-07,84,2023-04-26,2023-05-10,2023-05-24,2023-06-07,6,2,1,1129,1129,9,4,13,21,13,1.444444444,18.77777778,38.31522,-123.06908,8.542083333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-139-G1-001-3R,-27.94,3.34,-27.94,3.34,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,BB_091,BB_139,4,FALSE,BB-139-G1-001-3R-4,3R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1129,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-139-G1-001-3R,NA,NA,-27.94,3.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,BB_091,BB_139,5,FALSE,BB-139-G1-001-3R-5,3R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1129,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-139-G1-001-3R,NA,NA,-27.94,3.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
