"","Year","Gen","Transect","Sequence","Donor","Recipient","Plant_ID","F_plant","sample_ID_SEG","sample_ID","SegPos","Sow_Date","Plant_Date","FFD","days_sow2flower","days_plant2flower","LFD","fl_duration","F_Num_01","F_Num_02","F_Num_03","skel_dryweight_mg","skel_dryweight_mg_SEG","closed_fruits","open_fruits","filled_seeds","total_seeds","total_fruits","mean_seeds_per_fruit","est_fecundity","msm_all","corolla_diam_mm","photo_date","corolla_diam_mm_SEG","photo_date_SEG","leaf_area_mm2","leaf_dryweight_mg","leaf_area_mm2_SEG","leaf_dryweight_mg_SEG","SLA_SEG","SLA","LMA_SEG","LMA","d13C","sample_weight_mg","d13C_SEG","sample_weight_mg_SEG","surv_to_flower","surv_to_fruitprod","prod_closed_fruits","prod_filled_seeds"
"1731",2023,"G2",6,174,"BO_185","BO_153",1,FALSE,"BO-153-G2-006-6L","BO-153-G2-006-6L-1","6L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1732",2023,"G2",6,174,"BO_185","BO_153",2,FALSE,"BO-153-G2-006-6L","BO-153-G2-006-6L-2","6L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1733",2023,"G2",6,174,"BO_185","BO_153",3,FALSE,"BO-153-G2-006-6L","BO-153-G2-006-6L-3","6L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1734",2023,"G2",6,174,"BO_185","BO_153",4,FALSE,"BO-153-G2-006-6L","BO-153-G2-006-6L-4","6L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1735",2023,"G2",6,174,"BO_185","BO_153",5,FALSE,"BO-153-G2-006-6L","BO-153-G2-006-6L-5","6L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1736",2023,"G2",6,175,"BO_088","BO_050",1,FALSE,"BO-050-G2-006-7R","BO-050-G2-006-7R-1","7R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1737",2023,"G2",6,175,"BO_088","BO_050",2,FALSE,"BO-050-G2-006-7R","BO-050-G2-006-7R-2","7R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1738",2023,"G2",6,175,"BO_088","BO_050",3,FALSE,"BO-050-G2-006-7R","BO-050-G2-006-7R-3","7R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1739",2023,"G2",6,175,"BO_088","BO_050",4,FALSE,"BO-050-G2-006-7R","BO-050-G2-006-7R-4","7R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1740",2023,"G2",6,175,"BO_088","BO_050",5,FALSE,"BO-050-G2-006-7R","BO-050-G2-006-7R-5","7R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
