,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
5,G1,BO_101,BO_080,37R,,,,,,
5,G2,BO_198,BO_159,38L,1,36.517,150,,,
5,G1,BO_189,BO_086,38R,,,,,,
5,G1,BO_096,BO_134,39L,,,,,,
5,G1,BO_188,BO_154,39R,,,,,,
5,G1,BO_128,BO_060,40L,,,,,,
5,G1,BO_163,BO_034,40R,,,,,,
5,G2,BO_029,BO_090,41L,,,,,,
5,G1,BO_106,BO_191,41R,,,,,,
5,G2,BO_194,BO_037,42L,,,,,,
5,G1,BO_192,BO_127,42R,,,,,,
5,G2,BO_073,BO_070,43L,,,,,,
5,G1,BO_065,BO_014,43R,,,,,,
6,G2,BO_188,BO_052,22L,,,,,,
6,G2,BO_187,BO_031,22R,,,,,,
6,G2,BO_119,BO_051,1L,,,,,,
6,G1,BO_149,BO_185,1R,,,,,,
6,G1,BO_151,BO_056,2L,1,49.324,143,,3.05,
6,G2,BO_040,BO_067,2R,,,,,,
6,G1,BO_153,BO_022,3L,2,24.019,151,,1.49,
6,G1,BO_162,BO_089,3R,1,56.661,158,,3.76,
6,G1,BO_198,BO_158,4L,3,33.308,144,,2.47,
6,G1,BO_101,BO_182,4R,3,18.282,142,,1.14,
6,G1,BO_106,BO_131,5L,,,,,,
6,G2,BO_194,BO_098,5R,,,,,,
6,G2,BO_185,BO_153,6L,,,,,,
6,G1,BO_039,BO_102,6R,,,,,,
6,G2,BO_106,BO_191,7L,,,,,,
6,G2,BO_088,BO_050,7R,,,,,,
6,G2,BO_163,BO_072,8L,,,,,,
6,G1,BO_177,BO_121,8R,,,,,,
6,G1,BO_192,BO_166,9L,3,93.084,160,,5.83,
6,G1,BO_039,BO_087,9R,5,34.888,126,,2.73,
6,G1,BO_143,BO_195,10L,,,,,,
6,G1,BO_163,BO_034,10R,,,,,,
6,G2,BO_199,BO_015,11L,2,38.62,150,,2.23,
6,G2,BO_109,BO_001,11R,,,,,,
6,G1,BO_069,BO_145,12L,3,30.13,128,,2.64,
6,G1,BO_198,BO_158,12R,,,,,,
6,G1,BO_201,BO_199,13L,4,37.45,148,,3.64,
6,G2,BO_128,BO_060,13R,,,,,,
6,G2,BO_029,BO_061,14L,,,,,,
6,G2,BO_201,BO_130,14R,3,27.449,153,,2.84,
6,G2,BO_119,BO_013,15L,,,,,,
6,G2,BO_039,BO_200,15R,,,,,,
6,G1,BO_074,BO_027,16L,2,49.449,154,,4.34,
6,G2,BO_069,BO_043,16R,,,,,,
