`,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter  (mm),,
1,G2,HR_139,HR_127,35R,,,,,,,,,
1,G2,HR_053,HR_038,36L,1,8.148,172,,0.52,,26.793,,
1,G2,HR_164,HR_005,36R,,,,,,,,,
1,G2,HR_148,HR_109,37L,,,,,,,,,
1,G1,HR_057,HR_147,37R,,,,,,,,,
1,G1,HR_156,HR_197,38L,5,33.519,152,,2.21,,71.114,,
1,G2,HR_189,HR_168,38R,,,,,,,,,
1,G1,HR_069,HR_156,39L,4,27.66,161,,1.42,,65.728,,  
1,G1,HR_133,HR_158,39R,1,61.935,163,,3.06,,103.075,,
1,G1,HR_149,HR_065,40L,1,37.478,160,,1.85,,73.868,,
1,G1,HR_074,HR_115,40R,1,41.363,166,,2.11,,84.037,,
1,G1,HR_160,HR_033,41R,1,50.486,153,,3.27,,94.351,,
1,G2,HR_141,HR_184,42L,2,47.34,156,,2.45,,79.504,,
1,G1,HR_100,HR_135,42R,,,,,,,,,
1,G1,HR_095,HR_178,43L,2,23.566,151,,0.99,,50.515,,
1,G1,HR_062,HR_116,43R,5,46.859,172,,3.04,,94.744,,
1,G2,HR_168,HR_101,44L,,,,,,,,,
1,G1,HR_189,HR_018,44R,1,19.969,150,,0.98,,40.843,,
1,G2,HR_110,HR_037,45L,5,25.406,171,,1.35,,50.334,,
1,G1,HR_002,HR_071,45R,2,27.552,156,,1.65,,59.219,,
2,G1,HR_002,HR_059,1L,5,51.362,152,,2.31,,83.789,,
2,G2,HR_121,HR_139,1R,2,52.733,162,,2.73,,78.115,,
2,G1,HR_148,HR_114,2L,,,,,,,,,
2,G2,HR_090,HR_053,2R,,,,,,,,,
2,G2,HR_006,HR_146,3L,3,61.697,151,,2.66,,96.74,,
2,G1,HR_088,HR_182,3R,3,53.622,168,,2.62,,90.1,,
2,G1,HR_069,HR_156,4L,4,47.653,183,,2.27,,87.505,,
2,G2,HR_115,HR_026,4R,1,86.728,170,,4.16,,127.57,,
2,G2,HR_135,HR_152,5L,4,42.207,180,,1.88,,72.955,,
2,G1,HR_155,HR_009,5R,2,41.118,187,,1.73,,72.366,,
2,G2,HR_008,HR_058,6L,2,73.407,146,,2.92,,95.47,,
2,G2,HR_180,HR_036,6R,,,,,,,,,
2,G1,HR_027,HR_145,7L,,,,,,,,,
2,G2,HR_090,HR_126,7R,,,,,,,,,
2,G2,HR_131,HR_049,8L,5,44.605,157,,1.5,,67.276,,
2,G1,HR_059,HR_155,8R,2,22.27,149,,1.11,,60.691,,
2,G1,HR_053,HR_169,9L,,,,,,,,,
2,G2,HR_180,HR_179,9R,,,,,,,,,
2,G1,HR_149,HR_007,10L,5,41.445,145,,2.31,,75.886,,
2,G1,HR_200,HR_153,10R,4,48.753,175,,1.8,,74.647,,
2,G2,HR_149,HR_007,11L,1,34.429,165,,1.89,,73.844,,
2,G1,HR_180,HR_036,11R,2,25.808,163,,1.35,,50.296,,
2,G1,HR_171,HR_001,12L,1,90.49,145,,4.25,,119.672,,
2,G1,HR_189,HR_168,12R,3,28.198,158,,1.64,,64.523,,
2,G2,HR_125,HR_034,13L,,,,,,,,,
2,G2,HR_157,HR_088,13R,1,18.407,152,,0.96,,51.682,,
2,G1,HR_069,HR_108,14L,,,,,,,,,
2,G1,HR_085,HR_035,14R,,,,,,,,,
2,G1,HR_121,HR_105,15L,,,,,,,,,
2,G2,HR_195,HR_104,15R,,,,,,,,,
2,G1,HR_115,HR_026,16L,,,,,,,,,
2,G2,HR_064,HR_019,16R,,,,,,,,,
2,G2,HR_064,HR_028,17L,,,,,,,,,
2,G2,HR_189,HR_168,17R,,,,,,,,,
2,G1,HR_090,HR_103,18L,,,,,,,,,
2,G2,HR_195,HR_068,18R,,,,,,,,,
2,G1,HR_147,HR_021,19L,4,25.22,159,,1.04,,48.402,,
2,G1,HR_100,HR_195,19R,,,,,,,,,
2,G1,HR_108,HR_175,20L,3,25.816,145,,1.41,,54.831,,
2,G2,HR_088,HR_067,20R,,,,,,,,,
2,G2,HR_027,HR_145,21L,,,,,,,,,
2,G2,HR_005,HR_040,21R,5,33.985,165,,1.73,,51.498,,
2,G2,HR_195,HR_068,22L,2,38.802,159,,2.03,,69.917,,
2,G1,HR_200,HR_153,22R,,,,,,,,,
2,G1,HR_141,HR_044,23L,1,54.215,192,,1.85,,88.167,,
2,G2,HR_005,HR_149,23R,,,,,,,,,
2,G1,HR_200,HR_010,24L,,,,,,,,,
2,G2,HR_141,HR_015,24R,3,58,154,,3.21,,87.074,,
2,G2,HR_149,HR_065,25L,2,34.046,176,,1.55,,70.066,added the extra perimeter from the hole and overlap,
2,G1,HR_149,HR_174,25R,4,46.361,163,,2.69,,99.614,,
2,G1,HR_149,HR_065,26L,,,,,,,,,
2,G1,HR_108,HR_175,26R,,,,,,,,,
2,G2,HR_180,HR_036,27L,1,35.454,207,"difficult leaf, had to subtract inner area completed by sirj and helen",1.79,,64.041,included overlap,
2,G1,HR_110,HR_037,27R,2,36.431,141,,2.24,,62.514,,
2,G1,HR_053,HR_169,28L,2,26.391,142,,1.39,,54.49,,
2,G2,HR_088,HR_182,28R,5,39.616,170,,2.1,,71.935,,
2,G2,HR_196,HR_054,29L,1,35.041,158,,2.48,,70.634,,
2,G1,HR_100,HR_195,29R,5,33.429,144,,1.68,,67.433,,
2,G1,HR_034,HR_017,30L,,,,,,,,,
2,G2,HR_171,HR_073,30R,3,22.009,159,,1.07,,41.436,,
2,G1,HR_085,HR_107,31L,,,,,,,,,
2,G1,HR_027,HR_145,31R,1,33.985,142,,2.46,,59.790,,
2,G2,HR_088,HR_182,32L,2,41.148,135,,3.17,,62.903,,
2,G1,HR_006,HR_146,32R,3,31.759,161,,1.82,,60.398,,
2,G2,HR_160,HR_033,33L,3,28.051,165,,1.12,,50.737,,
2,G1,HR_171,HR_073,33R,4,69.148,200,,3.73,,97.259,,
2,G1,HR_002,HR_071,34L,2,34.129,185,,1.4,,69.52,,
2,G1,HR_027,HR_043,34R,3,21.899,178,,,,,,can't find photo
2,G2,HR_070,HR_165,35L,5,29.763,135,,1.5,,57.749,,
2,G2,HR_139,HR_062,35R,4,24.774,145,,1.18,,59.735,,
2,G2,HR_085,HR_176,36L,1,33.563,175,,1.91,,59.957,,
2,G1,HR_053,HR_092,36R,5,33.78,171,,1.6,,70.229,,
2,G1,HR_156,HR_193,37L,,,,,,,,,
2,G2,HR_100,HR_195,37R,,,,,,,,,
2,G1,HR_059,HR_166,38L,,,,,,,,,
2,G2,HR_160,HR_173,38R,,,,,,,,,
2,G1,HR_135,HR_152,39L,,,,,,,,,
2,G2,HR_006,HR_142,39R,,,,,,,,,
2,G1,HR_074,HR_115,40L,,,,,,,,,
2,G2,HR_008,HR_058,40R,,,,,,,,,
2,G2,HR_180,HR_023,41L,,,,,,,,,
2,G2,HR_100,HR_192,41R,3,36.057,176,,1.61,,80.129,,
2,G2,HR_088,HR_067,42L,,,,,,,,,
2,G1,HR_069,HR_133,42R,,,,,,,,,
2,G1,HR_088,HR_067,43L,2,36.94,144,,2.31,,71.823,,
2,G1,HR_053,HR_038,43R,,,,,,,,,
2,G1,HR_168,HR_101,44L,2,25.745,162,,1.2,,48.084,,
2,G1,HR_160,HR_079,44R,5,29.084,164,,1.56,,61.176,,
2,G2,HR_108,HR_175,45L,,,,,,,,,
2,G1,HR_155,HR_121,45R,,,,,,,,,
3,G1,HR_157,HR_088,1L,5,20.614,167,,0.82,Had duplicate so deleted photo of duplicate ,63.891,,
3,G2,HR_008,HR_012,1R,,,,,,,,,
3,G1,HR_156,HR_193,2L,3,34.74,164,,1.97,,65.726,,
3,G1,HR_059,HR_011,2R,2,87.855,137,,5.3,,137.347,,
3,G1,HR_034,HR_112,3L,,,,,,,,,
3,G1,HR_002,HR_056,3R,,,,,,,,,
3,G2,HR_189,HR_018,4L,,,,,,,,,
3,G2,HR_095,HR_020,4R,4,43.327,171,,1.88,,65.083,,
3,G2,HR_005,HR_149,5L,,,,,,,,,
3,G1,HR_147,HR_150,5R,,,,,,,,,
3,G2,HR_062,HR_134,6L,,,,,,,,,
3,G2,HR_070,HR_165,6R,,,,,,,,,
3,G2,HR_115,HR_026,7L,4,67.785,172,,2.95,,101.667,,
3,G1,HR_088,HR_067,8L,,,,,,,,,
3,G1,HR_088,HR_067,8R,1,34.148,169,,1.67,,66.777,,
3,G2,HR_156,HR_193,9L,2,54.259,167,,3.38,,85.72,Included Overlap,
3,G1,HR_070,HR_123,9R,,,,,,,,,
3,G2,HR_057,HR_006,10L,,,,,,,,,
3,G2,HR_074,HR_066,10R,1,61.671,161,,3,,96.193,,
3,G2,HR_131,HR_046,11L,3,54.492,177,,2.36,,99.931,,
3,G2,HR_175,HR_164,11R,2,39.073,164,,1.84,,95.081,,
3,G1,HR_196,HR_170,12L,3,38.006,136,,2.09,,74.905,,
3,G2,HR_133,HR_158,12R,1,81.297,160,,4.8,,129.46,,
3,G2,HR_156,HR_193,13L,1,92.06,185,,5.2,,131.894,,
3,G2,HR_069,HR_156,13R,1,104.624,167,,5.85,,142.79,,
3,G1,HR_131,HR_049,14L,5,32.179,135,,2.51,,69.985,,
3,G2,HR_149,HR_065,14R,,,,,,,,,
3,G2,HR_027,HR_145,15R,,,,,,,,,
3,G1,HR_034,HR_017,16L,,,,,,,,,
3,G1,HR_085,HR_176,16R,,,,,,,,,
3,G1,HR_175,HR_164,17L,,,,,,,,,
3,G1,HR_164,HR_041,17R,,,,,,,,,
3,G2,HR_195,HR_104,18L,,,,,,,,,
3,G2,HR_200,HR_153,18R,,,,,,,,,
3,G2,HR_064,HR_190,19L,,,,,,,,,
3,G2,HR_059,HR_155,19R,,,,,,,,,
3,G2,HR_147,HR_021,20L,,,,,,,,,
3,G2,HR_149,HR_174,20R,3,18.123,155,,0.89,,46.383,,
3,G2,HR_200,HR_159,21R,1,24.364,157,,1.19,,55.43,,
3,G1,HR_108,HR_175,22L,,,,,,,,,
3,G2,HR_085,HR_107,22R,3,43.674,178,,2.04,,77.228,,
3,G2,HR_090,HR_053,23R,,,,,,,,,
3,G2,HR_135,HR_083,24L,2,32.113,150,,1.56,,57.353,,
3,G2,HR_002,HR_071,24R,,,,,,,,,
3,G1,HR_175,HR_027,25L,2,38.253,164,,2.13,,73.297,,
3,G1,HR_090,HR_053,25R,1,30.723,187,,1.34,,66.736,,
3,G1,HR_180,HR_179,26L,4,45.359,161,,2.35,,68.573,,
3,G1,HR_062,HR_116,26R,1,36.561,168,,2.6,,66.241,,
3,G2,HR_110,HR_039,27L,3,44.208,141,two leaves may possibly be folded over ,2.62,,75.453,,
3,G1,HR_057,HR_006,27R,,,,,,,,,
3,G1,HR_121,HR_139,28L,2,45.78,168,,2.83,,85.864,,
3,G1,HR_090,HR_103,28R,2,33.035,152,,1.64,,66.505,,
3,G2,HR_157,HR_095,29L,,,,,,,,,
3,G2,HR_164,HR_005,29R,3,30.404,168,,2,,63.172,,
3,G2,HR_141,HR_015,30L,5,27.709,163,,1.65,,58.248,,
3,G2,HR_008,HR_042,30R,,,,,,,,,
3,G2,HR_064,HR_190,31L,5,26.933,158,,1.54,,49.396,,
3,G2,HR_160,HR_079,31R,,,,,,,,,
3,G2,HR_133,HR_161,32L,1,29.646,153,,1.44,,61.202,,
3,G2,HR_034,HR_112,32R,2,37.744,151,,1.63,,58.376,,
3,G2,HR_155,HR_047,33L,1,58.29,171,,2.68,,49.669,,
3,G2,HR_180,HR_036,33R,,,,,,,,,
