Plot,Treatment,Dam,Sire,Survive_to_germination,Fitness
7,Drought,33,77,1,0
7,Drought,34,38,1,531
7,Drought,35,7,1,1522
7,Drought,37,57,1,1535
7,Drought,63,77,1,737
7,Drought,65,4,1,830
7,Drought,81,6,1,1040
7,Drought,83,38,1,1231
7,Drought,84,4,1,1085
7,Drought,86,89,1,280
7,Drought,90,95,1,1526
7,Drought,92,94,1,1791
7,Drought,99,96,1,3184
7,Drought,101,40,1,1184
8,Drought,9,41,1,287
8,Drought,14,94,1,1086
8,Drought,16,40,1,7
8,Drought,17,47,1,1497
8,Drought,19,40,1,1671
8,Drought,24,47,1,1342
8,Drought,28,21,1,493
8,Drought,29,4,1,40
8,Drought,33,77,1,97
8,Drought,34,38,1,566
8,Drought,35,7,1,1137
8,Drought,44,11,1,1382
8,Drought,46,6,1,1030
8,Drought,48,23,1,15
8,Drought,49,47,1,784
8,Drought,51,38,1,381
8,Drought,61,23,1,0
8,Drought,62,94,1,292
8,Drought,63,77,1,0
8,Drought,67,57,1,114
8,Drought,68,7,1,0
8,Drought,69,77,1,57
8,Drought,70,11,1,56
8,Drought,80,6,1,0
8,Drought,81,6,1,928
8,Drought,82,64,1,601
8,Drought,83,38,1,702
8,Drought,84,4,1,1060
8,Drought,86,89,1,702
8,Drought,90,95,1,921
8,Drought,91,95,1,950
8,Drought,92,94,1,610
8,Drought,98,78,1,572
8,Drought,99,96,1,1205
8,Drought,101,40,1,836
9,Drought,18,78,1,594
9,Drought,25,89,1,2214
9,Drought,26,21,1,2066
9,Drought,31,96,1,722
9,Drought,33,77,1,3267
9,Drought,35,7,1,2001
9,Drought,37,57,1,1268
9,Drought,44,11,1,1349
9,Drought,48,23,1,1099
9,Drought,61,23,1,4061
9,Drought,62,94,1,2904
9,Drought,63,77,1,803
9,Drought,69,77,1,753
9,Drought,80,6,1,1707
9,Drought,81,6,1,2985
9,Drought,90,95,1,776
9,Drought,91,95,1,1558
9,Drought,98,78,1,2143
10,Ambient,12,64,1,583
10,Ambient,14,94,1,1226
10,Ambient,19,40,1,841
10,Ambient,20,7,1,561
10,Ambient,24,47,1,2597
10,Ambient,26,21,1,1161
10,Ambient,28,21,1,234
10,Ambient,31,96,1,3369
10,Ambient,33,77,1,742
10,Ambient,35,7,1,233
10,Ambient,37,57,1,495
10,Ambient,48,23,1,1494
10,Ambient,49,47,1,18
10,Ambient,51,38,1,1125
10,Ambient,76,41,1,941
10,Ambient,81,6,1,1435
10,Ambient,83,38,1,193
10,Ambient,90,95,1,111
10,Ambient,91,95,1,614
10,Ambient,93,96,1,1751
10,Ambient,98,78,1,1553
10,Ambient,99,96,1,1443
10,Ambient,100,11,1,2553
