Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,5,AC_054,AC_119,4,FALSE,5R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.18,2023-04-28,42.984,3.45,12.459130434782608,-31.52,5.14,1,NA,NA,NA
2023,G1,1,5,AC_054,AC_119,5,FALSE,5R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.18,2023-04-28,42.984,3.45,12.459130434782608,-31.52,5.14,1,NA,NA,NA
2023,G1,1,5,AC_091,AC_204,1,FALSE,5L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.881,2023-04-28,62.23,3.65,17.04931506849315,-31.66,4.7,1,NA,NA,NA
2023,G1,1,5,AC_091,AC_204,2,FALSE,5L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.881,2023-04-28,62.23,3.65,17.04931506849315,-31.66,4.7,1,NA,NA,NA
2023,G1,1,5,AC_091,AC_204,3,FALSE,5L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.881,2023-04-28,62.23,3.65,17.04931506849315,-31.66,4.7,1,NA,NA,NA
2023,G1,1,5,AC_091,AC_204,4,FALSE,5L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.881,2023-04-28,62.23,3.65,17.04931506849315,-31.66,4.7,1,NA,NA,NA
2023,G1,1,5,AC_091,AC_204,5,TRUE,5L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-04-28,NA,NA,NA,30.95,-,6,2,19,36,8,3.166666667,25.33333333,1.049294872,23.881,2023-04-28,62.23,3.65,17.04931506849315,-31.66,4.7,1,1,1,1
2023,G2,1,6,AC_159,AC_094,1,FALSE,6L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.513,2023-04-28,NA,NA,NA,-32.07,4.74,0,NA,NA,NA
2023,G2,1,6,AC_159,AC_094,2,FALSE,6L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.513,2023-04-28,NA,NA,NA,-32.07,4.74,1,NA,NA,NA
2023,G2,1,6,AC_159,AC_094,3,TRUE,6L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,NA,2023-04-28,NA,0,NA,NA,X,8,7,12,37,15,1.5,22.5,0.9291666667,20.513,2023-04-28,NA,NA,NA,-32.07,4.74,1,1,1,1
2023,G2,1,6,AC_159,AC_094,4,FALSE,6L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.513,2023-04-28,NA,NA,NA,-32.07,4.74,0,NA,NA,NA
2023,G2,1,6,AC_159,AC_094,5,FALSE,6L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.513,2023-04-28,NA,NA,NA,-32.07,4.74,0,NA,NA,NA
2023,G1,1,6,AC_045,AC_123,1,FALSE,6R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.462,2023-04-28,62.037,4.43,14.003837471783296,-31.86,4.37,1,NA,NA,NA
2023,G1,1,6,AC_045,AC_123,2,TRUE,6R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-04-28,NA,NA,NA,60.99,-,13,1,33,56,14,2.538461538,35.53846154,1.325357143,22.462,2023-04-28,62.037,4.43,14.003837471783296,-31.86,4.37,1,1,1,1
2023,G1,1,6,AC_045,AC_123,3,FALSE,6R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.462,2023-04-28,62.037,4.43,14.003837471783296,-31.86,4.37,1,NA,NA,NA
2023,G1,1,6,AC_045,AC_123,4,FALSE,6R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.462,2023-04-28,62.037,4.43,14.003837471783296,-31.86,4.37,1,NA,NA,NA
2023,G1,1,6,AC_045,AC_123,5,FALSE,6R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.462,2023-04-28,62.037,4.43,14.003837471783296,-31.86,4.37,0,NA,NA,NA
2023,G1,1,7,AC_124,AC_030,1,TRUE,7L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-04-28,NA,NA,NA,NA,-,6,1,11,15,7,1.833333333,12.83333333,1.125454545,22.713,2023-04-28,7.648,0.56,13.657142857142855,-32.26,1.58,1,1,1,1
2023,G1,1,7,AC_124,AC_030,2,FALSE,7L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.713,2023-04-28,7.648,0.56,13.657142857142855,-32.26,1.58,0,NA,NA,NA
2023,G1,1,7,AC_124,AC_030,3,FALSE,7L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.713,2023-04-28,7.648,0.56,13.657142857142855,-32.26,1.58,0,NA,NA,NA
2023,G1,1,7,AC_124,AC_030,4,FALSE,7L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.713,2023-04-28,7.648,0.56,13.657142857142855,-32.26,1.58,0,NA,NA,NA
