Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,26,BO_194,BO_037,2,TRUE,26R,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,1,NA,NA,NA,-,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,-32.09,2.04,1,1,0,0
2023,G1,1,27,BO_177,BO_139,4,TRUE,27R,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,2,NA,NA,NA,-,2,0,1,2,2,0.5,1,4.74,NA,NA,15.721,0.95,16.54842105263158,-30.62,3.2,1,1,1,1
2023,G2,1,28,BO_033,BO_124,5,TRUE,28R,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,NA,NA,NA,NA,NA,X,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,-31.01,1.56,1,1,1,0
2023,G1,1,28,BO_163,BO_144,1,TRUE,28L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,1,NA,NA,NA,-,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
2023,G1,1,30,BO_162,BO_089,1,TRUE,30L,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,NA,2023-04-21,6,NA,NA,55.84,-,8,10,25,36,18,3.125,56.25,4.004673913,NA,NA,NA,NA,NA,-29.46,5.23,1,1,1,1
2023,G1,1,33,BO_001,BO_151,3,TRUE,33L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,2,NA,NA,33.43,-,5,6,8,13,11,1.6,17.6,3.187857143,NA,NA,NA,NA,NA,-29.39,5.29,1,1,1,1
2023,G1,1,35,BO_128,BO_060,1,TRUE,35L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,2,NA,NA,NA,-,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2023,G1,1,37,BO_194,BO_125,5,TRUE,37L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,NA,2023-05-05,1,1,NA,20.6,-,0,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,-29.91,4.03,1,1,0,0
2023,G1,1,39,BO_088,BO_140,5,TRUE,39R,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,NA,NA,NA,NA,NA,-,1,0,5,5,1,5,5,3.208,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
2023,G1,2,41,BO_168,BO_175,1,TRUE,1L,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-15,29,NA,2023-05-17,NA,NA,2,53.9,-,2,1,2,3,3,1,3,7.855,NA,NA,NA,NA,NA,-27.89,4.01,1,1,1,1
2023,G2,2,47,BO_109,BO_095,5,TRUE,7L,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,2023-05-17,NA,NA,NA,NA,X,3,0,1,4,3,0.3333333333,1,2.36,NA,NA,NA,NA,NA,-27.11,2.67,1,1,1,1
2023,G1,2,48,BO_040,BO_067,1,TRUE,8R,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,NA,NA,NA,NA,NA,-,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2023,G2,2,48,BO_058,BO_094,2,TRUE,8L,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-01,15,NA,2023-05-17,NA,NA,NA,NA,X,2,1,1,3,3,0.5,1.5,7.22,NA,NA,NA,NA,NA,-28.69,4.12,1,1,1,1
2023,G1,2,49,BO_040,BO_067,1,TRUE,9L,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-01,15,NA,NA,NA,NA,NA,19.02,-,4,0,12,12,4,3,12,2.626666667,NA,NA,NA,NA,NA,-28.74,2.42,1,1,1,1
2023,G2,2,50,BO_069,BO_201,4,TRUE,10R,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,NA,NA,NA,NA,2.04,X,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,-29.54,1.94,1,0,0,0
2023,G1,2,51,BO_033,BO_143,2,TRUE,11R,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,NA,2023-04-21,1,NA,NA,3.31,-,0,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,-31.03,1.81,1,1,0,0
2023,G1,2,52,BO_058,BO_081,3,TRUE,12R,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,2023-04-21,NA,NA,NA,NA,-,0,1,0,0,1,NA,NA,NA,NA,NA,15.862,0.76,20.871052631578948,NA,NA,1,1,0,0
