Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G2,1,3,HR_095,HR_178,2,FALSE,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,-30.53,3.58,1,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,3,FALSE,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,-30.53,3.58,1,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,4,TRUE,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,2024-04-20,NA,NA,NA,25.51,X,6,0,24,36,6,4,24,2.044421053,NA,NA,38.678,2.2,17.58090909090909,-30.53,3.58,1,1,1,1
2023,G2,1,3,HR_095,HR_178,5,FALSE,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,-30.53,3.58,1,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,1,FALSE,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,72.139,3.81,18.934120734908134,-29.89,2.28,1,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,2,FALSE,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,72.139,3.81,18.934120734908134,-29.89,2.28,1,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,3,FALSE,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,72.139,3.81,18.934120734908134,-29.89,2.28,1,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,4,TRUE,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,2024-04-20,NA,NA,NA,NA,-,9,3,16,19,12,1.777777778,21.33333333,3.603253968,24.15,2024-04-20,72.139,3.81,18.934120734908134,-29.89,2.28,1,1,1,1
2023,G1,1,4,HR_180,HR_036,5,FALSE,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,2024-04-20,72.139,3.81,18.934120734908134,-29.89,2.28,1,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,1,FALSE,4R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,-31.15,1.89,0,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,2,FALSE,4R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,-31.15,1.89,1,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,3,TRUE,4R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,2024-04-05,NA,NA,NA,6.19,X,2,0,11,13,2,5.5,11,1.207142857,25.546,2024-04-05,NA,NA,NA,-31.15,1.89,1,1,1,1
2023,G2,1,4,HR_155,HR_121,4,FALSE,4R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,-31.15,1.89,1,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,5,FALSE,4R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.546,2024-04-05,NA,NA,NA,-31.15,1.89,1,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,1,FALSE,5R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,42.306,2.28,18.555263157894736,-30.89,4.2,1,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,2,FALSE,5R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,42.306,2.28,18.555263157894736,-30.89,4.2,0,NA,NA,NA
