Year,Gen,Location,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweights_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,latitude_SEG,longitude_SEG,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,sample_ID_SEG,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G2,57,170,BB_169,BB_076,5,TRUE,BB-076-G2-057-170R-5,170R,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,NA,NA,NA,NA,NA,NA,NA,28.66,28.66,0,0,0,0,0,NA,0,38.31439,-123.06978,NA,23.446,2024-03-16,23.446,2024-03-16,NA,NA,74.176,4.82,15.38921161825726,NA,0.06498058671268335,NA,BB-076-G2-057-170R,-28.89,2.84,-28.89,2.84,1,0,0,0
2023,G1,57,170,BB_177,BB_117,3,TRUE,BB-117-G1-057-170L-3,170L,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-26,55,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,38.31439,-123.06978,NA,NA,NA,24.737,2024-03-02,NA,NA,40.365,3.43,11.768221574344023,NA,0.08497460671373715,NA,BB-117-G1-057-170L,NA,NA,NA,NA,1,0,0,0
2023,G1,57,171,BB_144,BB_030,4,TRUE,BB-030-G1-057-171R-4,171R,2022-10-03,2022-10-06,2023-02-16,136,133,2023-05-11,84,2023-04-26,2023-05-11,NA,NA,1,NA,NA,116.37,116.37,0,0,0,0,0,NA,0,38.31439,-123.06978,NA,27.43,2024-02-16,27.43,2024-02-16,NA,NA,56.135,6.71,8.365871833084947,NA,0.11953326801460765,NA,BB-030-G1-057-171R,-28.85,3.51,-28.85,3.51,1,0,0,0
2023,G1,57,171,BB_051,BB_118,3,TRUE,BB-118-G1-057-171L-3,171L,2022-10-03,2022-10-06,2023-04-13,192,189,2023-04-26,13,2023-04-26,NA,NA,NA,NA,NA,NA,8.19,8.19,0,0,0,0,0,NA,0,38.31439,-123.06978,NA,NA,NA,18.903,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,BB-118-G1-057-171L,-27.5,3.38,-27.5,3.38,1,0,0,0
2023,G1,58,172,BB_011,BB_056,1,TRUE,BB-056-G1-058-172R-1,172R,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,NA,NA,NA,NA,NA,NA,403.06,403.06,17,4,25,35,21,1.470588235,30.88235294,38.31446,-123.06974,4.7992,20.16,2024-02-16,20.16,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,BB-056-G1-058-172R,-28.91,3.61,-28.91,3.61,1,1,1,1
2023,G1,58,172,BB_197,BB_211,4,TRUE,BB-211-G1-058-172L-4,172L,2022-10-03,2022-10-06,2023-03-16,164,161,2023-05-11,56,2023-04-27,2023-05-11,NA,NA,1,NA,NA,342.94,342.94,20,0,70,103,20,3.5,70,38.31446,-123.06974,4.268611111,NA,NA,15.933,2024-02-16,NA,NA,195.138,8.77,22.250627137970355,NA,0.04494255347497668,NA,BB-211-G1-058-172L,-29.39,4.05,-29.39,4.05,1,1,1,1
2023,G1,58,173,BB_142,BB_093,2,TRUE,BB-093-G1-058-173L-2,173L,2022-10-03,2022-10-06,2023-03-16,164,161,2023-03-29,13,NA,NA,NA,NA,NA,NA,NA,11.55,11.55,1,1,4,4,2,4,8,38.31446,-123.06974,3.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-093-G1-058-173L,-30.48,2.2,-30.48,2.2,1,1,1,1
2023,G2,58,173,BB_055,BB_145,4,TRUE,BB-145-G2-058-173R-4,173R,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,NA,NA,NA,NA,NA,NA,133.86,133.86,7,0,8,12,7,1.142857143,8,38.31446,-123.06974,2.478571429,20.729,2024-02-16,20.729,2024-02-16,NA,NA,74.75,2.42,30.888429752066116,NA,0.03237458193979933,NA,BB-145-G2-058-173R,-28.37,2.27,-28.37,2.27,1,1,1,1
2023,G1,58,174,BB_122,BB_027,4,TRUE,BB-027-G1-058-174R-4,174R,2022-10-03,2022-10-06,2023-04-27,206,203,2023-04-27,0,2023-04-27,NA,NA,NA,NA,NA,NA,73.33,73.33,0,0,0,0,0,NA,0,38.31446,-123.06974,NA,NA,NA,17.897,2024-02-16,NA,NA,57.474,3.08,18.660389610389608,NA,0.05358944914222084,NA,BB-027-G1-058-174R,-29.79,3.66,-29.79,3.66,1,0,0,0
2023,G2,58,174,BB_198,BB_045,4,TRUE,BB-045-G2-058-174L-4,174L,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-27,29,2023-04-27,NA,NA,NA,NA,NA,NA,21.99,21.99,1,0,0,1,1,0,0,38.31446,-123.06974,NA,22.428,2024-03-29,22.428,2024-03-29,NA,NA,33.184,1.88,17.651063829787233,NA,0.056653809064609456,NA,BB-045-G2-058-174L,-29.27,1.98,-29.27,1.98,1,1,1,0
2023,G1,59,175,BB_065,BB_013,1,TRUE,BB-013-G1-059-175R-1,175R,2022-10-03,2022-10-06,2023-03-16,164,161,2023-04-26,41,2023-04-26,NA,NA,NA,NA,NA,NA,54.07,54.07,3,0,2,9,3,0.6666666667,2,38.31446,-123.06979,2.185,NA,NA,18.916,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,BB-013-G1-059-175R,-28.73,3.35,-28.73,3.35,1,1,1,1
2023,G2,59,175,BB_005,BB_166,4,TRUE,BB-166-G2-059-175L-4,175L,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-11,43,2023-04-26,2023-05-11,NA,NA,NA,NA,NA,25.2,25.2,2,0,2,2,2,1,2,38.31446,-123.06979,1.81,22.617,2024-03-29,22.617,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,BB-166-G2-059-175L,-29.97,3.06,-29.97,3.06,1,1,1,1
2023,G1,59,176,BB_066,BB_019,1,TRUE,BB-019-G1-059-176L-1,176L,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-26,55,2023-04-26,NA,NA,NA,NA,NA,NA,42.71,42.71,6,0,0,0,6,0,0,38.31446,-123.06979,NA,20.893,2024-04-13,20.893,2024-04-13,NA,NA,27.666,1.77,15.63050847457627,NA,0.06397744523964433,NA,BB-019-G1-059-176L,-29.37,4.07,-29.37,4.07,1,1,1,0
2023,G2,59,177,BB_196,BB_089,2,TRUE,BB-089-G2-059-177L-2,177L,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,38.31446,-123.06979,NA,21.587,2024-03-29,21.587,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,BB-089-G2-059-177L,NA,NA,NA,NA,1,0,0,0
2023,G1,59,177,BB_197,BB_199,4,TRUE,BB-199-G1-059-177R-4,177R,2022-10-03,2022-10-06,2023-03-02,150,147,2023-05-11,70,NA,2023-05-11,NA,NA,NA,NA,NA,NA,NA,1,0,2,4,1,2,2,38.31446,-123.06979,2.685,NA,NA,24.662,2024-02-16,NA,NA,62.907,4.44,14.168243243243241,NA,0.07058038056178169,NA,BB-199-G1-059-177R,-28.15,1.72,-28.15,1.72,1,1,1,1
2023,G1,60,178,BB_001,BB_072,5,TRUE,BB-072-G1-060-178L-5,178L,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,NA,NA,NA,NA,NA,NA,NA,7.64,7.64,0,0,0,0,0,NA,0,38.31443,-123.06982000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-072-G1-060-178L,-29.07,1.79,-29.07,1.79,1,0,0,0
2023,G1,60,178,BB_173,BB_170,4,TRUE,BB-170-G1-060-178R-4,178R,2022-10-03,2022-10-06,2023-02-16,136,133,2023-05-11,84,NA,2023-05-11,NA,NA,1,NA,NA,21.78,21.78,0,0,0,0,0,NA,0,38.31443,-123.06982000000001,NA,26.514,2024-03-02,26.514,2024-03-02,NA,NA,47.75,3.03,15.759075907590761,NA,0.06345549738219894,NA,BB-170-G1-060-178R,-28.63,2.06,-28.63,2.06,1,0,0,0
2023,G2,60,179,BB_066,BB_019,5,TRUE,BB-019-G2-060-179R-5,179R,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-27,29,2023-04-27,NA,NA,NA,NA,NA,NA,16.25,16.25,3,0,5,5,3,1.666666667,5,38.31443,-123.06982000000001,3.906,22.941,2024-03-29,22.941,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,BB-019-G2-060-179R,-29.49,1.81,-29.49,1.81,1,1,1,1
2023,G1,60,180,BB_175,BB_172,5,TRUE,BB-172-G1-060-180R-5,180R,2022-10-03,2022-10-06,2023-03-16,164,161,2023-05-11,56,2023-04-27,2023-05-11,NA,NA,1,NA,NA,56.43,56.43,3,0,5,5,3,1.666666667,5,38.31443,-123.06982000000001,NA,21.947,2024-04-26,21.947,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,BB-172-G1-060-180R,-28.06,1.29,-28.06,1.29,1,1,1,1
2023,G2,61,181,BB_142,BB_150,2,TRUE,BB-150-G2-061-181L-2,181L,2022-10-03,2022-10-06,2023-04-13,192,189,2023-04-13,0,NA,NA,NA,NA,NA,NA,NA,15.59,15.59,0,0,0,0,0,NA,0,38.31451,-123.06982000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-150-G2-061-181L,-30.44,1.48,-30.44,1.48,1,0,0,0
2023,G1,61,181,BB_215,BB_210,4,TRUE,BB-210-G1-061-181R-4,181R,2022-10-03,2022-10-06,2023-04-13,192,189,2023-04-26,13,2023-04-26,NA,NA,NA,NA,NA,NA,30.97,30.97,0,1,0,0,1,NA,NA,38.31451,-123.06982000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-210-G1-061-181R,-28.58,1.74,-28.58,1.74,1,1,0,0
