ID	Block	Pop	CrossPop	SurvWin1	ReprS1	TotFr1	Seed1	Samp1	FruitSeed1	FruitSeedcr1	FruitSeedR1	SurvWin2	ReprS2	TotFr2	Seed2	Samp2	FruitSeed2	FruitSeedcr2	FruitSeedR2	SurvWin3	ReprS3	TotFr3	Seed3	Samp3	FruitSeed3	FruitSeedcr3	FruitSeedR3
669	S5	D	DA 	1	1	22	25	3	183.3333333	5.680856403	183	1	1	10	1	3	3.333333333	1.493801582	3	1	1	14	10	3	46.66666667	3.600274328	47
670	S5	D	DB	1	1	25	10	3	83.33333333	4.367902324	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
671	S5	D	DA 	1	1	21	11	3	77	4.254320865	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
672	S5	D	DA 	1	1	13	17	3	73.66666667	4.192023156	74	1	0	0	0	0	0	0	0	1	1	12	14	3	56	3.825862366	56
673	S5	D	DA 	1	1	24	14	3	112	4.820284528	112	1	0	0	0	0	0	0	0	1	1	7	4	3	9.333333333	2.105453199	9
676	S6	A	A	1	1	16	38	3	202.6666667	5.873912077	203	1	1	23	28	3	214.6666667	5.987628831	215	1	1	15	43	3	215	5.990726415	215
677	S6	D	DA 	1	1	35	43	3	501.6666667	7.945814374	502	1	1	4	2	2	4	1.587401052	4	1	0	0	0	0	0	0	0
678	S6	B	B	1	1	12	22	3	88	4.447960181	88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
679	S6	C 	CB	1	1	22	34	3	249.3333333	6.294000615	249	1	1	10	3	3	10	2.15443469	10	1	1	15	3	3	15	2.466212074	15
680	S6	B	B	1	1	41	28	3	382.6666667	7.260060021	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
681	S6	D	DB	1	1	24	13	3	104	4.702669375	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
