positionID,packID,row,group.position,position,maternalID,paternalID,planting.notes,presence1,leafnumber1,notes1,presence2,leafnumber2,notes2,presence3,leafnumber3,notes3,presence4,branch4,flowering4,munched4,notes4,presence5,flowering5,munched5,notes5,presence6,notes6,presence7,notes7,notes8,presence9,flowering9,crispy.pods9,green.pods9,ground.pods9,pods.on.plant9,seed.ct,ground.seed.ct,green.seed.ct,notes9
740,151,318,45,45.2,134,135,,0,NA,,0,NA,,0,NA,cf patch brtween 45 and 47,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
741,152,318,47,46.8,35,34,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
742,152,318,47,46.9,35,34,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
743,152,318,47,47,35,34,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
744,152,318,47,47.1,35,34,,1,2,,1,4,,1,8,,1,0,1,0,,0,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
745,152,318,47,47.2,35,34,,1,3,,1,4,,1,7,,1,0,1,0,,1,1,1,,1,,1,,,1,1,0,0,0,0,NA,NA,NA,munched
746,153,318,49,48.8,179,131,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
747,153,318,49,48.9,179,131,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
748,153,318,49,49,179,131,,1,2,,1,4,,1,6,,1,0,1,0,,1,1,0,,1,,1,pods collected off ground,,1,1,5,0,0,0,44,NA,NA,
749,153,318,49,49.1,179,131,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
750,153,318,49,49.2,179,131,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
751,154,412,1,0.8,111,6,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
752,154,412,1,0.9,111,6,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
753,154,412,1,1,111,6,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
754,154,412,1,1.1,111,6,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
755,154,412,1,1.2,111,6,,0,NA,,1,1,,1,3,,1,0,0,0,,1,1,0,,1,only stem remaining,1,,,1,1,0,0,0,0,NA,NA,NA,only stem remaining
756,155,412,3,2.8,189,63,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
757,155,412,3,2.9,189,63,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
758,155,412,3,3,189,63,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
759,155,412,3,3.1,189,63,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
760,155,412,3,3.2,189,63,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
761,156,412,5,4.8,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
762,156,412,5,4.9,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
763,156,412,5,5,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
764,156,412,5,5.1,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
765,156,412,5,5.2,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
766,157,412,7,6.8,90,8,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
767,157,412,7,6.9,90,8,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
